N,rho_star,T_star,kappa,a,α,n_cut,m_cut,step_size,n_burnin,n_sweeps,sample_every,n_samples,seed,mean_abs_Q2_first_shell,ϵ0_inv,universal_line_4T,diff_to_4T,acceptance_rate,U1_mean,beta_U_mean
50,0.01,0.275,3.6363636363636362,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102009,0.9130824918298517,0.4715578471804144,1.1,-0.6284421528195857,0.28234166666666666,-91.74423272624479,-333.61539173179
50,0.01,0.3,3.3333333333333335,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102010,1.4098723174681183,0.2520395051550768,1.2,-0.9479604948449232,0.33531666666666665,-89.08380662967627,-296.9460220989234
50,0.01,0.35,2.857142857142857,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102011,1.7611025925708093,0.1991766202868671,1.4,-1.2008233797131327,0.41614833333333334,-85.23419609559242,-243.52627455883552
50,0.01,0.4,2.5,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102012,2.089551404355473,0.16859391288053693,1.6,-1.4314060871194632,0.48298,-82.01520647023233,-205.0380161755848
50,0.01,0.5,2.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102013,2.6881936809505427,0.14432137537664746,2.0,-1.8556786246233525,0.5739766666666667,-77.5845067342375,-155.169013468475
50,0.01,0.6,1.6666666666666667,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102014,3.144945950992084,0.1657771769046137,2.4,-2.2342228230953864,0.63214,-74.63893724360196,-124.39822873933566
50,0.01,0.8,1.25,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102015,4.147866027497972,0.1748082730509427,3.2,-3.0251917269490574,0.710695,-70.25842219665205,-87.82302774581707
50,0.01,1.0,1.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102016,4.865646985859318,0.22560823086030823,4.0,-3.774391769139692,0.7563433333333334,-67.53580665578805,-67.53580665578805
200,0.01,0.05,20.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200000,0.07977119443919162,0.7460804017731588,0.2,0.5460804017731589,0.00336625,-497.29268583343446,-9945.853716668646
200,0.01,0.075,13.333333333333334,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200001,0.08026321749435078,0.8296761624975224,0.3,0.5296761624975224,0.0059479166666666665,-493.4911018384827,-6579.881357846404
200,0.01,0.1,10.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200002,0.10291362136686706,0.836207884479754,0.4,0.436207884479754,0.01006,-487.4938692256879,-4874.938692256813
200,0.01,0.125,8.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200003,0.13151295862957268,0.8325525004277086,0.5,0.33255250042770856,0.015473333333333334,-482.56015116199876,-3860.48120929599
200,0.01,0.15,6.666666666666667,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200004,0.163402166537703,0.8266249165573298,0.6,0.22662491655732986,0.024460416666666665,-476.14872913665454,-3174.32486091104
200,0.01,0.175,5.714285714285714,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200005,0.21546705167257293,0.804042020873561,0.7,0.10404202087356107,0.03719666666666667,-469.68288372424814,-2683.902192710013
